id,supported_engines,locations,spec,monthly_cost,numbers_of_node
vultr-dbaas-business-cc-hp-amd-8-512-32,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 512}",960,2
vultr-dbaas-premium-cc-hp-amd-8-512-32,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 8, 'ram': 32768, 'disk': 512}",1322,3
vultr-dbaas-startup-cc-hp-amd-12-768-48,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",768,1
vultr-dbaas-business-cc-hp-amd-12-768-48,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",1280,2
vultr-dbaas-premium-cc-hp-amd-12-768-48,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 12, 'ram': 49152, 'disk': 768}",1792,3
vultr-dbaas-hobbyist-cc-hp-intel-1-32-1,"['mysql', 'pg']","ams,atl,blr,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 1024, 'disk': 32}",18,1
vultr-dbaas-startup-cc-hp-intel-1-64-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 64}",36,1
vultr-dbaas-business-cc-hp-intel-1-64-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 64}",60,2
vultr-dbaas-premium-cc-hp-intel-1-64-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 1, 'ram': 2048, 'disk': 64}",84,3
vultr-dbaas-startup-cc-hp-intel-2-80-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 2048, 'disk': 80}",54,1
vultr-dbaas-business-cc-hp-intel-2-80-2,"['mysql', 'pg']","ams,atl,bom,cdg,del,dfw,ewr,fra,hnl,icn,itm,jnb,lax,lhr,mad,man,mel,mex,mia,nrt,ord,sao,scl,sea,sgp,sjc,sto,syd,tlv,waw,yto","{'vcpu_count': 2, 'ram': 2048, 'disk': 80}",90,2
