Type,Category,Name,Processor / Cores,GPU,GPU type,Memory,Storage,Bandwidth,Price,,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-16c-128gb-3840s,16 vCPU,No,N/A,128GB,3840GB NVMe,10TB/mo,"$1,500.00/mo",,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-24c-192gb-5760s,24 vCPU,No,N/A,192GB,5760GB NVMe,10TB/mo,"$1,850.00/mo",,,,,,,,,,
Dedicated_CPU,Storage Optimized,voc-s-32c-256gb-5760s,32 vCPU,No,N/A,256GB,5760GB NVMe,12TB/mo,"$2,000.00/mo",,,,,,,,,,
Cloud_GPU,AMD MI300X,vbm-256c-2048gb-8-mi300x-gpu,"2 x AMD EPYC 9534
256 cores / 512 threads @ 2.5 GHz",Yes,"8 x AMD MI300X, 192 GB VRAM",2267.5 GB,3576 GB NVMe,10TB/mo,$17.52/hr,,,,,,,,,,
Cloud_GPU,NVIDIA GH200,vbm-72c-480gb-gh200-gpu,"1 x NVIDIA Grace Neoverse V2
72 cores / 72 threads @ 3.1 GHz",Yes,"1 x NVIDIA GH200, 96 GB VRAM",480 GB,960 GB NVMe,25TB/mo,$2.99/hr,,,,,,,,,,
Cloud_GPU,NVIDIA HGX H100,vbm-112c-2048gb-8-h100-gpu,"2 x Intel Platinum 8480+
224 cores / 448 threads @ 2.0 GHz",Yes,"8 x NVIDIA HGX H100, 640 GB VRAM",2048 GB,960 GB NVMe,15TB/mo,$23.920/hr,,,,,,,,,,
Cloud_GPU,NVIDIA L40S,vcg-l40s-16c-180g-48vram,16 vCPUs,Yes,"1 NVIDIA L40S, 48 GB VRAM",180 GB,1200 GB NVMe,10TB/mo,$1.671/hr,,,,,,,,,,
Cloud_GPU,NVIDIA L40S,vcg-l40s-32c-375g-96vram,32 vCPUs,Yes,"2 x NVIDIA L40S, 96 GB VRAM",375 GB,2200 GB NVMe,10TB/mo,$3.342/hr,,,,,,,,,,
Cloud_GPU,NVIDIA L40S,vcg-l40s-64c-750g-192vram,64 vCPUs,Yes,"3 x NVIDIA L40S, 192 GB VRAM",750 GB,2600 GB NVMe,15TB/mo,$6.684/hr,,,,,,,,,,
Cloud_GPU,NVIDIA L40S,vcg-l40s-128c-1500g-384vram,128 vCPUs,Yes,"8 x NVIDIA L40S, 384 GB VRAM",1500 GB,3400 GB NVMe,25TB/mo,$13.368/hr,,,,,,,,,,
Cloud_GPU,NVIDIA L40S,vbm-64c-2048gb-8-l40-gpu,"2 x Intel Gold 6448H
128 cores / 256 threads @ 2.4 GHz",Yes,"8 x NVIDIA L40S, 384 GB VRAM",2048 GB,480 GB NVMe,15TB/mo,$13.368/hr,,,,,,,,,,
Cloud_GPU,NVIDIA HGX A100,vbm-112c-2048gb-8-a100-gpu,"2 x Intel Platinum 8480+
224 cores / 448 threads @ 2.0 GHz",Yes,"8 x NVIDIA HGX A100, 640 GB VRAM",2048 GB,960 GB NVMe,15TB/mo,$22.400/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A100 PCle,vcg-a100-1c-6g-4vram,1 vCPU,Yes,"1/20 NVIDIA A100 PCIe, 4 GB VRAM",6 GB,70 GB NVMe,1TB/mo,$0.123/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A101 PCle,vcg-a100-1c-12g-8vram,1 vCPU,Yes,"1/10 NVIDIA A100 PCIe, 8 GB VRAM",12 GB,140 GB NVMe,1TB/mo,$0.247/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A102 PCle,vcg-a100-2c-15g-10vram,2 vCPUs,Yes,"1/7 NVIDIA A100 PCIe, 10 GB VRAM",15 GB,170 GB NVMe,2TB/mo,$0.342/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A103 PCle,vcg-a100-3c-30g-20vram,3 vCPUs,Yes,"1/3 NVIDIA A100 PCIe, 20 GB VRAM",30 GB,700 GB NVMe,3TB/mo,$0.616/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A104 PCle,vcg-a100-6c-60g-40vram,6 vCPUs,Yes,"1/2 NVIDIA A100 PCIe, 40 GB VRAM",60 GB,1400 GB NVMe,6TB/mo,$1.199/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A105 PCle,vcg-a100-12c-120g-80vram,12 vCPUs,Yes,"1 NVIDIA A100 PCIe, 80 GB VRAM",120 GB,1400 GB NVMe,10TB/mo,$2.397/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A106 PCle,vcg-a100-24c-240g-160vram,24 vCPUs,Yes,"2 x NVIDIA A100 PCIe, 160 GB VRAM",240 GB,1400 GB NVMe,10TB/mo,$4.795/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A107 PCle,vcg-a100-48c-480g-320vram,48 vCPUs,Yes,"4 x NVIDIA A100 PCIe, 320 GB VRAM",480 GB,1400 GB NVMe,15TB/mo,$9.589/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A108 PCle,vcg-a100-96c-960g-640vram,96 vCPUs,Yes,"8 x NVIDIA A100 PCIe, 640 GB VRAM",960 GB,2200 GB NVMe,25TB/mo,$19.178/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A109 PCle,vbm-48c-1024gb-4-a100-gpu,"2 x Intel Gold 6342
96 cores / 192 threads @ 2.8 GHz",Yes,"4 x NVIDIA A100 PCIe, 320 GB VRAM",1024 GB,1024 GB NVMe,15TB/mo,$9.589/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-1c-5g-2vram,1 vCPU,Yes,"1/24 NVIDIA A40, 2 GB VRAM",5 GB,90 GB NVMe,3TB/mo,$0.075/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-2c-10g-4vram,2 vCPUs,Yes,"1/12 NVIDIA A40, 4 GB VRAM",10 GB,180 GB NVMe,4TB/mo,$0.144/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-4c-20g-8vram,4 vCPUs,Yes,"1/6 NVIDIA A40, 8 GB VRAM",20 GB,360 GB NVMe,5TB/mo,$0.288/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-6c-30g-12vram,6 vCPUs,Yes,"1/4 NVIDIA A40, 12 GB VRAM",30 GB,550 GB NVMe,6TB/mo,$0.432/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-8c-40g-16vram,8 vCPUs,Yes,"1/3 NVIDIA A40, 16 GB VRAM",40 GB,740 GB NVMe,8TB/mo,$0.575/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-12c-60g-24vram,12 vCPUs,Yes,"1/2 NVIDIA A40, 24 GB VRAM",60 GB,1110 GB NVMe,10TB/mo,$0.856/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-24c-120g-48vram,24 vCPUs,Yes,"1 NVIDIA A40, 48 GB VRAM",120 GB,1400 GB NVMe,15TB/mo,$1.712/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A40,vcg-a40-96c-480g-192vram,96 vCPUs,Yes,"4 x NVIDIA A40, 192 GB VRAM",480 GB,1400 GB NVMe,60TB/mo,$6.849/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-2c-8g-2vram,2 vCPUs,Yes,"1/8 NVIDIA A16, 2 GB VRAM",8 GB,50 GB NVMe,1TB/mo,$0.059/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-2c-16g-4vram,2 vCPUs,Yes,"1/4 NVIDIA A16, 4 GB VRAM",16 GB,80 GB NVMe,2TB/mo,$0.118/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-3c-32g-8vram,3 vCPUs,Yes,"1/2 NVIDIA A16, 8 GB VRAM",32 GB,170 GB NVMe,3TB/mo,$0.236/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-6c-64g-16vram,6 vCPUs,Yes,"1 NVIDIA A16, 16 GB VRAM",64 GB,350 GB NVMe,6TB/mo,$0.471/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-12c-128g-32vram,12 vCPUs,Yes,"2 x NVIDIA A16, 32 GB VRAM",128 GB,700 GB NVMe,10TB/mo,$0.942/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-24c-256g-64vram,24 vCPUs,Yes,"4 x NVIDIA A16, 64 GB VRAM",256 GB,1200 GB NVMe,12TB/mo,$1.884/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-48c-496g-128vram,48 vCPUs,Yes,"8 x NVIDIA A16, 128 GB VRAM",496 GB,1500 GB NVMe,15TB/mo,$3.767/hr,,,,,,,,,,
Cloud_GPU,NVIDIA A16,vcg-a16-96c-960g-256vram,96 vCPUs,Yes,"16 x NVIDIA A16, 256 GB VRAM",960 GB,1700 GB NVMe,25TB/mo,$7.534/hr,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-1c-0.5gb-free,1 vCPU,No,N/A,0.5 GB,10 GB SSD,0TB/mo,$0.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-1c-0.5gb-v6,1 vCPU,No,N/A,0.5 GB,10 GB SSD,0.5TB/mo,$2.50/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-1c-0.5gb,1 vCPU,No,N/A,0.5 GB,10 GB SSD,0.5TB/mo,$3.50/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-1c-1gb,1 vCPU,No,N/A,1 GB,25 GB SSD,1TB/mo,$5.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-1c-2gb,1 vCPU,No,N/A,2 GB,55 GB SSD,2TB/mo,$10.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-2c-2gb,2 vCPUs,No,N/A,2 GB,65 GB SSD,3TB/mo,$15.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-2c-4gb,2 vCPUs,No,N/A,4 GB,80 GB SSD,3TB/mo,$20.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-4c-8gb,4 vCPUs,No,N/A,8 GB,160 GB SSD,4TB/mo,$40.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-6c-16gb,6 vCPUs,No,N/A,16 GB,320 GB SSD,5TB/mo,$80.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-8c-32gb,8 vCPUs,No,N/A,32 GB,640 GB SSD,6TB/mo,$160.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-16c-64gb,16 vCPUs,No,N/A,64 GB,1280 GB SSD,10TB/mo,$320.00/mo,,,,,,,,,,
Shared_CPU,Cloud Compute,vc2-24c-96gb,24 vCPUs,No,N/A,96 GB,1600 GB SSD,15TB/mo,$640.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-1c-1gb,1 vCPU,No,N/A,1 GB,32 GB NVMe,1TB/mo,$6.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-1c-2gb,1 vCPU,No,N/A,2 GB,64 GB NVMe,2TB/mo,$12.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-2c-2gb,2 vCPUs,No,N/A,2 GB,80 GB NVMe,3TB/mo,$18.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-2c-4gb,2 vCPUs,No,N/A,4 GB,128 GB NVMe,3TB/mo,$24.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-3c-8gb,3 vCPUs,No,N/A,8 GB,256 GB NVMe,4TB/mo,$48.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-4c-16gb,4 vCPUs,No,N/A,16 GB,384 GB NVMe,5TB/mo,$96.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-6c-24gb,6 vCPUs,No,N/A,24 GB,448 GB NVMe,6TB/mo,$144.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-8c-32gb,8 vCPUs,No,N/A,32 GB,512 GB NVMe,7TB/mo,$192.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-12c-48gb,12 vCPUs,No,N/A,48 GB,768 GB NVMe,8TB/mo,$256.00/mo,,,,,,,,,,
Shared_CPU,High Frequency,vhf-16c-58gb,16 vCPUs,No,N/A,58 GB,1024 GB NVMe,9TB/mo,$320.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-1c-1gb,1 vCPU,No,N/A,1 GB,25 GB NVMe,2TB/mo,$6.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-1c-2gb,1 vCPU,No,N/A,2 GB,50 GB NVMe,3TB/mo,$12.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-2c-2gb,2 vCPUs,No,N/A,2 GB,60 GB NVMe,4TB/mo,$18.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-2c-4gb,2 vCPUs,No,N/A,4 GB,100 GB NVMe,5TB/mo,$24.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-4c-8gb,4 vCPUs,No,N/A,8 GB,180 GB NVMe,6TB/mo,$48.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-4c-12gb,4 vCPUs,No,N/A,12 GB,260 GB NVMe,7TB/mo,$72.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-8c-16gb,8 vCPUs,No,N/A,16 GB,350 GB NVMe,8TB/mo,$96.00/mo,,,,,,,,,,
Shared_CPU,High Performance,vhp-12c-24gb,12 vCPUs,No,N/A,24 GB,500 GB NVMe,12TB/mo,$144.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-4c-32gb,"1 x Intel E3-1270
4 cores / 8 threads @ 3.8 GHz",No,N/A,32 GB,240 GB SSD,5TB/mo,$120.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-6c-32gb,"1 x Intel E-2286G
6 cores / 12 threads @ 4.0 GHz",No,N/A,32 GB,960 GB SSD,10TB/mo,$185.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-6c-128gb,"1 x Intel E-2386G
6 cores / 12 threads @ 3.5 GHz",No,N/A,128 GB,960 GB SSD,3TB/mo,$225.00/mo,,,,,,,,,,
Bare_Metal,CPU,vbm-8c-132gb,"1 x Intel E-2288G
8 cores / 16 threads @ 3.7 GHz",No,N/A,128 GB,1920 GB NVMe,10TB/mo,$350.00/mo,,,,,,,,,,
